,Price,Location,Title,Link,Date
0,"$9,399",GLENVIEW,"2011 TOYOTA SIENNA, MINI VAN!!!",https://chicago.craigslist.org/nwc/cto/d/glenview-2011-toyota-sienna-mini-van/7299268516.html,Mar 30
1,"$2,800",Chicago,2000 Mercedes Benz ML 320,https://chicago.craigslist.org/chc/cto/d/chicago-2000-mercedes-benz-ml-320/7299267582.html,Mar 30
2,"$3,750",Downers Grove,2014 Ruby Red Ford Fiesta 4 Door,https://chicago.craigslist.org/wcl/cto/d/downers-grove-2014-ruby-red-ford-fiesta/7299267268.html,Mar 30
3,"$17,995",3733 Veterans memorial Pkwy St.Charles MO 63303,2008 Mercedes-Benz CLS-Class - Financing Available!,https://chicago.craigslist.org/chc/ctd/d/saint-charles-2008-mercedes-benz-cls/7299267235.html,Mar 30
4,"$13,000",Wood Dale,2009 Lexus ES350 Pebble Beach Edition,https://chicago.craigslist.org/nwc/cto/d/wood-dale-2009-lexus-es350-pebble-beach/7299267075.html,Mar 30
5,"$28,000","*2016* *GMC* *Sierra* *1500* *SLE* *!!Bad* *Credit,* *No","2016 GMC Sierra 1500 SLE !!Bad Credit, No Credit? NO PROBLEM!!",https://chicago.craigslist.org/chc/ctd/d/waukegan-2016-gmc-sierra-1500-sle-bad/7299266629.html,Mar 30
6,"$11,300",Westmont,2013 Nissan Pathfinder S 57k miles,https://chicago.craigslist.org/sox/cto/d/westmont-2013-nissan-pathfinder-57k/7299266591.html,Mar 30
7,"$1,200",+ First Marshall Auto Auction,2001 Mitsubishi Eclipse GT -Auction Pricing ,https://chicago.craigslist.org/nwi/ctd/d/dolton-2001-mitsubishi-eclipse-gt/7299266551.html,Mar 30
8,"$18,888","*2016* *INFINITI* *QX50* *Base* *!!Bad* *Credit,* *No* *","2016 INFINITI QX50 Base !!Bad Credit, No Credit? NO PROBLEM!!",https://chicago.craigslist.org/chc/ctd/d/waukegan-2016-infiniti-qx50-base-bad/7299266530.html,Mar 30
9,"$4,900",+ First Marshall Auto Auction,2011 BMW 5 Series 535i xDrive -Auction Pricing ,https://chicago.craigslist.org/nch/ctd/d/dolton-2011-bmw-series-535i-xdrive/7299266475.html,Mar 30
10,"$18,000","*2018* *Dodge* *Charger* *SXT* *!!Bad* *Credit,* *No* *C","2018 Dodge Charger SXT !!Bad Credit, No Credit? NO PROBLEM!!",https://chicago.craigslist.org/chc/ctd/d/waukegan-2018-dodge-charger-sxt-bad/7299266396.html,Mar 30
11,"$3,900",Chinatown,2003 Toyota Corolla S,https://chicago.craigslist.org/chc/cto/d/chicago-2003-toyota-corolla/7299262959.html,Mar 30
12,"$4,000",Highland Park,2006 Mazda 6,https://chicago.craigslist.org/nch/cto/d/highland-park-2006-mazda/7299260690.html,Mar 30
