,Price,Location,Title,Link,Date
0,"$4,400",N/A,2003 Mercedes C240,https://losangeles.craigslist.org/lgb/cto/d/long-beach-2003-mercedes-c240/7299111811.html,Mar 29
1,"$4,000",Baldwin Park,2006 Honda Pilot,https://losangeles.craigslist.org/sgv/cto/d/baldwin-park-2006-honda-pilot/7299111529.html,Mar 29
2,"$5,995",+ 714 Auto,2010 Honda Civic Sedan LX,https://losangeles.craigslist.org/lgb/ctd/d/orange-2010-honda-civic-sedan-lx/7299111417.html,Mar 29
3,"$5,950",Los Angeles,2008 BMW 535 I Sport Premium package,https://losangeles.craigslist.org/sfv/cto/d/inglewood-2008-bmw-535-sport-premium/7299110537.html,Mar 29
4,"$1,400",N/A,2007 Toyota rav4 Clean title**Perfect condition**,https://losangeles.craigslist.org/wst/cto/d/los-angeles-2007-toyota-rav4-clean/7299110148.html,Mar 29
5,"$6,800",long beach,XXX 2008 HONDA CIVIC XXX,https://losangeles.craigslist.org/lgb/cto/d/long-beach-xxx-2008-honda-civic-xxx/7299109901.html,Mar 29
6,"$4,990",Playa Del Rey,Lexus RX300 - Only 76k Miles Excellent,https://losangeles.craigslist.org/wst/cto/d/marina-del-rey-lexus-rx300-only-76k/7299109621.html,Mar 29
7,"$12,000",Pico Rivera,2014 VW Jetta TDI (Diesel) - Moonrock Silver Metallic,https://losangeles.craigslist.org/lgb/cto/d/pico-rivera-2014-vw-jetta-tdi-diesel/7299108606.html,Mar 29
8,"$2,600",LOS ANGELES,2005 Ford Escape,https://losangeles.craigslist.org/sfv/cto/d/los-angeles-2005-ford-escape/7299108473.html,Mar 29
9,"$11,900",Thousand Oaks,"2006 Ford 550 Extended Cab Turbo Diesel V8 Service Truck $11,900",https://losangeles.craigslist.org/lac/cto/d/westlake-village-2006-ford-550-extended/7299106473.html,Mar 29
10,"$15,000",Woodland Hills,2013 Audi A3 2.0 TDI Premium Plus Wagon 4D,https://losangeles.craigslist.org/sfv/cto/d/woodland-hills-2013-audi-a3-20-tdi/7299105615.html,Mar 29
11,"$5,200",Glendale,2010 Toyota Prius,https://losangeles.craigslist.org/sfv/cto/d/glendale-2010-toyota-prius/7299105244.html,Mar 29
12,"$3,700",Reseda,2006 Honda Civic Ex 5 Speed Manual 40mpg,https://losangeles.craigslist.org/sfv/cto/d/valencia-2006-honda-civic-ex-speed/7299104752.html,Mar 29
13,"$8,250",N/A,2011 Cadillac CTS Coupe,https://losangeles.craigslist.org/sfv/cto/d/glendale-2011-cadillac-cts-coupe/7299103187.html,Mar 29
14,"$12,400",N/A,2016 Honda Civic Touring,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2016-honda-civic-touring/7299101809.html,Mar 29
15,"$6,500",Burbank,Chrysler Town and Country,https://losangeles.craigslist.org/sfv/cto/d/burbank-chrysler-town-and-country/7299101629.html,Mar 29
16,"$10,500",N/A,2016 Kia Sportage SX T-GDI Turbo,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2016-kia-sportage-sx-gdi/7299101609.html,Mar 29
