,Price,Location,Title,Link,Date
0,"$16,033",CALL 916-304-9616 !!,2014 Honda Accord Sedan LX sedan Modern Steel Metallic,https://sacramento.craigslist.org/ctd/d/sacramento-2014-honda-accord-sedan-lx/7299266957.html,Mar 30
1,"$32,088",CALL 916-304-9616 !!,2018 Ram 1500 Harvest pickup Brilliant Black Crystal Pearlcoat,https://sacramento.craigslist.org/ctd/d/sacramento-2018-ram-1500-harvest-pickup/7299266932.html,Mar 30
2,"$16,688",CALL 916-304-9616 !!,2015 Lexus ES 350 With Navigation and Premium Pkg sedan Starfire Pearl,https://sacramento.craigslist.org/ctd/d/sacramento-2015-lexus-es-350-with/7299266913.html,Mar 30
3,"$11,878",CALL 916-304-9616 !!,2015 Honda Civic Coupe EX coupe Crystal Black Pearl,https://sacramento.craigslist.org/ctd/d/sacramento-2015-honda-civic-coupe-ex/7299266929.html,Mar 30
4,"$17,999",CALL 916-304-9616 !!,2018 Hyundai Santa Fe Sport 2.4L suv Nightfall Blue,https://sacramento.craigslist.org/ctd/d/sacramento-2018-hyundai-santa-fe-sport/7299266898.html,Mar 30
5,"$11,767",CALL 916-304-9616 !!,2016 VW Volkswagen Passat 1.8T S sedan Platinum Gray Metallic,https://sacramento.craigslist.org/ctd/d/sacramento-2016-vw-volkswagen-passat/7299266899.html,Mar 30
6,"$15,222",CALL 916-304-9616 !!,2016 Audi A3 1.8T Premium sedan White,https://sacramento.craigslist.org/ctd/d/sacramento-2016-audi-a3-18t-premium/7299266900.html,Mar 30
7,"$21,678",CALL 916-304-9616 !!,2013 Lexus RX 350 4x2 With Premium Pkg suv Starfire Pearl,https://sacramento.craigslist.org/ctd/d/sacramento-2013-lexus-rx-350-4x2-with/7299266910.html,Mar 30
8,"$7,172",CALL 916-304-9616 !!,2011 Mazda Mazda3 i Sport sedan Liquid Silver Metallic,https://sacramento.craigslist.org/ctd/d/sacramento-2011-mazda-mazda3-sport/7299266882.html,Mar 30
9,"$10,888",CALL 916-304-9616 !!,2017 Mitsubishi Outlander Sport ES 2.0 suv Diamond White Pearl,https://sacramento.craigslist.org/ctd/d/sacramento-2017-mitsubishi-outlander/7299266858.html,Mar 30
10,"$11,222",CALL 916-304-9616 !!,2015 Honda Accord Sedan EX sedan Alabaster Silver Metallic,https://sacramento.craigslist.org/ctd/d/sacramento-2015-honda-accord-sedan-ex/7299266862.html,Mar 30
11,"$12,038",CALL 916-304-9616 !!,2015 Nissan Pathfinder S suv Magnetic Black,https://sacramento.craigslist.org/ctd/d/sacramento-2015-nissan-pathfinder-suv/7299266917.html,Mar 30
12,"$16,630",CALL 916-304-9616 !!,2016 Ford Focus ST hatchback Shadow Black,https://sacramento.craigslist.org/ctd/d/sacramento-2016-ford-focus-st-hatchback/7299266887.html,Mar 30
13,"$25,188",CALL 916-304-9616 !!,2018 Genesis G80 3.8L sedan Casablanca White,https://sacramento.craigslist.org/ctd/d/sacramento-2018-genesis-g80-38l-sedan/7299266893.html,Mar 30
14,"$9,038",CALL 916-304-9616 !!,2013 Hyundai Elantra Limited sedan Radiant Silver,https://sacramento.craigslist.org/ctd/d/sacramento-2013-hyundai-elantra-limited/7299266855.html,Mar 30
15,"$22,555",CALL 916-304-9616 !!,2018 Toyota Tacoma SR 4x2 Access Cab W/Utility Pkg pickup Super White,https://sacramento.craigslist.org/ctd/d/sacramento-2018-toyota-tacoma-sr-4x2/7299266867.html,Mar 30
16,"$24,888",CALL 916-304-9616 !!,2019 Toyota Tacoma SR Access Cab 4x2 W/Utility Pkg pickup Super White,https://sacramento.craigslist.org/ctd/d/sacramento-2019-toyota-tacoma-sr-access/7299266873.html,Mar 30
17,"$18,347",CALL 916-304-9616 !!,2012 INFINITI M37 sedan Harbour Blue,https://sacramento.craigslist.org/ctd/d/sacramento-2012-infiniti-m37-sedan/7299266843.html,Mar 30
18,"$8,488",CALL 916-304-9616 !!,2007 Lexus RX 350 4x4 With Premium Plus Pkg and Navigation suv,https://sacramento.craigslist.org/ctd/d/sacramento-2007-lexus-rx-350-4x4-with/7299266850.html,Mar 30
19,"$11,211",CALL 916-304-9616 !!,2018 Nissan Sentra S sedan Fresh Powder,https://sacramento.craigslist.org/ctd/d/sacramento-2018-nissan-sentra-sedan/7299266851.html,Mar 30
20,"$22,688",CALL 916-304-9616 !!,2018 Toyota Tacoma SR 4x2 Access Cab W/Utility Pkg pickup Super White,https://sacramento.craigslist.org/ctd/d/sacramento-2018-toyota-tacoma-sr-4x2/7299266834.html,Mar 30
21,"$11,088",CALL 916-304-9616 !!,2017 Nissan Sentra SV sedan Fresh Powder,https://sacramento.craigslist.org/ctd/d/sacramento-2017-nissan-sentra-sv-sedan/7299266818.html,Mar 30
22,"$13,333",CALL 916-304-9616 !!,2016 Hyundai Santa Fe Sport suv Serrano Red,https://sacramento.craigslist.org/ctd/d/sacramento-2016-hyundai-santa-fe-sport/7299266822.html,Mar 30
23,$895,down drives away/Sacramento/We do IHSS LOANS,Clean * 2015 Chrysler 200 * Bad Credit NO PROBLEM * Job is Credit,https://sacramento.craigslist.org/ctd/d/clean-chrysler-200-bad-credit-no/7299267733.html,Mar 30
24,"$11,988",CALL 916-304-9616 !!,2019 Hyundai Accent SEL sedan Urban Gray Metallic,https://sacramento.craigslist.org/ctd/d/sacramento-2019-hyundai-accent-sel/7299266845.html,Mar 30
25,"$40,388",CALL 916-304-9616 !!,2016 Chevy Chevrolet Silverado 1500 LT pickup Summit White,https://sacramento.craigslist.org/ctd/d/sacramento-2016-chevy-chevrolet/7299266865.html,Mar 30
26,"$8,484",CALL 916-304-9616 !!,2011 Honda Fit Sport hatchback Alabaster Silver Metallic,https://sacramento.craigslist.org/ctd/d/sacramento-2011-honda-fit-sport/7299266841.html,Mar 30
27,"$9,891",CALL 916-304-9616 !!,2015 VW Volkswagen Jetta Sedan 1.8T SE sedan Platinum Gray Metallic,https://sacramento.craigslist.org/ctd/d/sacramento-2015-vw-volkswagen-jetta/7299266819.html,Mar 30
28,"$22,688",CALL 916-304-9616 !!,2018 Toyota Tacoma SR 4x2 Access Cab W/Utility Pkg pickup Super White,https://sacramento.craigslist.org/ctd/d/sacramento-2018-toyota-tacoma-sr-4x2/7299266804.html,Mar 30
29,"$13,217",CALL 916-304-9616 !!,2018 Hyundai Elantra SEL sedan Symphony Silver,https://sacramento.craigslist.org/ctd/d/sacramento-2018-hyundai-elantra-sel/7299266807.html,Mar 30
30,"$17,777",CALL 916-304-9616 !!,2019 Kia Optima LX sedan Sangria,https://sacramento.craigslist.org/ctd/d/sacramento-2019-kia-optima-lx-sedan/7299266813.html,Mar 30
31,"$11,438",CALL 916-304-9616 !!,2017 Kia Soul + hatchback Alien II,https://sacramento.craigslist.org/ctd/d/sacramento-2017-kia-soul-hatchback/7299266815.html,Mar 30
32,"$37,288",CALL 916-304-9616 !!,2016 Chevy Chevrolet Silverado 1500 LT pickup Iridescent Pearl Tricoat,https://sacramento.craigslist.org/ctd/d/sacramento-2016-chevy-chevrolet/7299266817.html,Mar 30
33,"$16,177",CALL 916-304-9616 !!,2015 Lincoln MKZ sedan Gray,https://sacramento.craigslist.org/ctd/d/sacramento-2015-lincoln-mkz-sedan-gray/7299266791.html,Mar 30
34,"$10,888",CALL 916-304-9616 !!,2012 Hyundai Sonata GLS sedan Sparkling Ruby,https://sacramento.craigslist.org/ctd/d/sacramento-2012-hyundai-sonata-gls/7299266779.html,Mar 30
