,Price,Location,Title,Link,Date
0,"$8,099",N/A,Nissan Altima - BAD CREDIT BANKRUPTCY REPO SSI RETIRED APPROVED,https://newyork.craigslist.org/brx/ctd/d/fort-montgomery-nissan-altima-bad/7299267354.html,Mar 30
1,"$3,900",N/A,2007 Toyota Prius 147k miles,https://newyork.craigslist.org/brk/cto/d/2007-toyota-prius-147k-miles/7299266123.html,Mar 30
2,"$9,450",Douglas,2011Ford E350 passenger van/2k under book value,https://newyork.craigslist.org/que/ctd/d/douglas-2011ford-e350-passenger-van-2k/7299265003.html,Mar 30
3,"$10,000",Maspeth,2014 Land Rover Range Rover Evoque,https://newyork.craigslist.org/que/cto/d/maspeth-2014-land-rover-range-rover/7299264873.html,Mar 30
4,"$4,900",QUEENS,2005 Honda Pilot SUV 4x4 AWD - Original Owner,https://newyork.craigslist.org/que/cto/d/south-ozone-park-2005-honda-pilot-suv/7299263741.html,Mar 30
5,"$3,800",QUEENS,2006 Honda Odyssey - 8 Passenger Minivan Van,https://newyork.craigslist.org/que/cto/d/south-ozone-park-2006-honda-odyssey/7299263350.html,Mar 30
6,"$5,800",QUEENS,2007 Toyota RAV4 (RAV-4) Limited 4x4 AWD,https://newyork.craigslist.org/que/cto/d/south-ozone-park-2007-toyota-rav4-rav/7299262944.html,Mar 30
7,"$11,999",AS LOW AS $50 A WEEK FOR THIS PILOT,CERTIFIED 2012 HONDA PILOT! 3RD ROW! SUNROOF!LEATHER! BACK UP CAM!,https://newyork.craigslist.org/que/ctd/d/jamaica-certified-2012-honda-pilot-3rd/7299262628.html,Mar 30
8,"$12,999",AS LOW AS $50 A WEEK FOR THIS E350!,CERTIFIED 2012 MERCEDES-BENZ E350 LUXURY !  FULLY LOADED! WARRANTY!,https://newyork.craigslist.org/que/ctd/d/jamaica-certified-2012-mercedes-benz/7299262400.html,Mar 30
9,"$14,999",AS LOW AS $50 A WEEK FOR THIS RX350!,CERTIFIED 2013 LEXUS RX350! FULLY LOADED! WARRANTY! WONT LAST!,https://newyork.craigslist.org/que/ctd/d/jamaica-certified-2013-lexus-rx350/7299261938.html,Mar 30
10,"$13,499",+ Auto Spot LLC,2011 Ford F150 SuperCrew Cab XLT Pickup 4D 6 1/2 ft EZ-FINANCING!,https://newyork.craigslist.org/brx/ctd/d/wood-ridge-2011-ford-f150-supercrew-cab/7299261198.html,Mar 30
