,Price,Location,Title,Link,Date
0,"$7,200",sunnyvale,2013 Honda Civic LX Coupe - MANUAL TRANSMISSION,https://sfbay.craigslist.org/sby/cto/d/sunnyvale-2013-honda-civic-lx-coupe/7299111694.html,Mar 29
1,"$13,999",alohamotors.net,"2009 Mercedes-Benz CLK 550 , 1 OWNER, CONVERTIBLE TOP, GREAT CONDITION",https://sfbay.craigslist.org/scz/ctd/d/santa-cruz-2009-mercedes-benz-clk-owner/7299111453.html,Mar 29
2,"$6,500",vallejo / benicia,2014 Toyota Corolla S,https://sfbay.craigslist.org/eby/cto/d/napa-2014-toyota-corolla/7299111336.html,Mar 29
3,"$3,400",sunnyvale,2006 Nissan Sentra,https://sfbay.craigslist.org/sby/cto/d/sunnyvale-2006-nissan-sentra/7299111233.html,Mar 29
4,"$13,500",sunnyvale,2008 Volkswagen R32 - AWD,https://sfbay.craigslist.org/sby/cto/d/sunnyvale-2008-volkswagen-r32-awd/7299111115.html,Mar 29
5,"$9,900",sunnyvale,2011 Toyota Avalon Limited,https://sfbay.craigslist.org/sby/cto/d/sunnyvale-2011-toyota-avalon-limited/7299110983.html,Mar 29
6,"$3,100",San Jose,2007 Scion Tc Clean! Manual transmission,https://sfbay.craigslist.org/scz/cto/d/san-jose-2007-scion-tc-clean-manual/7299110846.html,Mar 29
7,"$10,500",sunnyvale,2017 Nissan Altima,https://sfbay.craigslist.org/sby/cto/d/sunnyvale-2017-nissan-altima/7299110828.html,Mar 29
8,"$4,500",N/A,2006 Scion xA,https://sfbay.craigslist.org/eby/ctd/d/fremont-2006-scion-xa/7299110714.html,Mar 29
9,"$7,000",sunnyvale,2000 Toyota 4Runner SR5 4X4 - Gold edition,https://sfbay.craigslist.org/sby/cto/d/sunnyvale-2000-toyota-4runner-sr5-4x4/7299110695.html,Mar 29
10,"$9,999",downtown / civic / van ness,2013 Toyota Camry XLE Hybrid Leather 1-Owner Navigation Loaded,https://sfbay.craigslist.org/sfc/ctd/d/2013-toyota-camry-xle-hybrid-leather/7299110584.html,Mar 29
11,"$14,000",oakland piedmont / montclair,2012 Toyota Sienna LE,https://sfbay.craigslist.org/eby/cto/d/oakland-2012-toyota-sienna-le/7299109885.html,Mar 29
12,"$4,500",lafayette / orinda / moraga,2002 Acura 3.5RL for sale,https://sfbay.craigslist.org/eby/ctd/d/lafayette-2002-acura-35rl-for-sale/7299109341.html,Mar 29
13,"$8,300",Menlo Park,2013 Chevrolet Impala LTZ,https://sfbay.craigslist.org/pen/cto/d/menlo-park-2013-chevrolet-impala-ltz/7299108009.html,Mar 29
14,"$43,450",Campbell,King Ranch 2015 F-250 Short Bed w/ Extras!,https://sfbay.craigslist.org/sby/cto/d/campbell-king-ranch-2015-250-short-bed/7299106665.html,Mar 29
15,"$5,200",santa cruz,2008 Ford Taurus X SEL for Sale,https://sfbay.craigslist.org/scz/cto/d/santa-cruz-2008-ford-taurus-sel-for-sale/7299105508.html,Mar 29
16,"$21,590",napa county,2019 Subaru Crosstrek - Low Miles,https://sfbay.craigslist.org/nby/cto/d/napa-2019-subaru-crosstrek-low-miles/7299104507.html,Mar 29
17,"$3,500",alameda,Ford E350 Super Duty Box Van,https://sfbay.craigslist.org/eby/cto/d/alameda-ford-e350-super-duty-box-van/7299104222.html,Mar 29
18,"$6,500",pittsburg / antioch,2004 bmw 530i,https://sfbay.craigslist.org/eby/cto/d/pittsburg-2004-bmw-530i/7299104140.html,Mar 29
19,"$4,900",Oakland,09’ Nissan Cube Super Nice Salvage title Beautiful LOOK!!,https://sfbay.craigslist.org/eby/cto/d/oakland-09-nissan-cube-super-nice/7299103463.html,Mar 29
20,"$21,500",san jose west,Dodge Ram viper v10,https://sfbay.craigslist.org/sby/cto/d/san-jose-dodge-ram-viper-v10/7299103386.html,Mar 29
21,"$13,800",russian river,"'11 Nissan Frontier, 2by2, pretty clean, lift kit, great 4 work truck",https://sfbay.craigslist.org/nby/cto/d/forestville-11-nissan-frontier-2by2/7299102344.html,Mar 29
22,"$11,800",san jose west,Chevy Silverado,https://sfbay.craigslist.org/sby/cto/d/san-jose-chevy-silverado/7299102079.html,Mar 29
23,"$27,995",N/A,2005 Chevrolet Corvette - Financing Available!,https://sfbay.craigslist.org/eby/ctd/d/san-jose-2005-chevrolet-corvette/7299101055.html,Mar 29
24,"$7,800",SAN RAMON,2011 Hyundai Genesis,https://sfbay.craigslist.org/eby/cto/d/san-ramon-2011-hyundai-genesis/7299100462.html,Mar 29
25,"$43,991",San Leandro,2015 Jeep Grand Cherokee SRT ~ L@@K ~ Vapor PKG ~ BLK/RED ~ We Finance,https://sfbay.craigslist.org/eby/ctd/d/san-leandro-2015-jeep-grand-cherokee/7299100031.html,Mar 29
26,"$38,991",San Leandro,2007 Chevrolet Corvette ~ L@@K~ Indy Pace Car Edition ~ 6Spd ~ 38K Mil,https://sfbay.craigslist.org/eby/ctd/d/san-leandro-2007-chevrolet-corvette-lk/7299100012.html,Mar 29
27,"$38,991",San Leandro,2012 Chevrolet Corvette Z16 Grd Sport ~ Only 26K Miles ~ 3LT ~ Navi ~,https://sfbay.craigslist.org/eby/ctd/d/san-leandro-2012-chevrolet-corvette-z16/7299099999.html,Mar 29
28,"$33,991",San Leandro,2017 Infiniti Q60 Sport ~ L@@K ~ 1 CA Owner ~ BLK/RED ~ We Finance ~,https://sfbay.craigslist.org/eby/ctd/d/san-leandro-2017-infiniti-q60-sport-lk/7299099842.html,Mar 29
29,"$31,591",San Leandro,2017 Ford Mustang GT Premium ~ 6Spd ~ Red/BLK ~ Recaro Seats ~ We Fi,https://sfbay.craigslist.org/eby/ctd/d/san-leandro-2017-ford-mustang-gt/7299099730.html,Mar 29
30,"$20,991",San Leandro,2008 Dodge Challenger SRT ~ L@@K ~ 1ST Edition ~ Orange/BLK ~ We Finan,https://sfbay.craigslist.org/eby/ctd/d/san-leandro-2008-dodge-challenger-srt/7299099693.html,Mar 29
31,"$42,991",San Leandro,2015 Mercedes-Benz M-Class ML63 AMG ~ L@@K ~ BLK/BLK ~ 50K Miles ~ We,https://sfbay.craigslist.org/eby/ctd/d/san-leandro-2015-mercedes-benz-class/7299099686.html,Mar 29
